d17Ow,d18Ow,Dp17Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-5.1471,-9.800000000000022,39.5,5.9762,26.6,17.0,33.0
-5.1466,-9.800000000000022,40.0,6.5448,26.4,17.0,33.0
-5.1461,-9.800000000000022,40.5,6.2296,26.0,17.0,32.0
-5.1456,-9.800000000000022,41.0,5.406,25.7,16.0,32.0
-5.1451,-9.800000000000022,41.5,5.528,25.6,16.0,32.0
-5.1446,-9.800000000000022,42.0,6.0852,25.1,16.0,32.0
-5.1441,-9.800000000000022,42.5,5.3798,25.0,16.0,31.0
-5.1436,-9.800000000000022,43.0,5.4566,24.6,15.0,31.0
-5.1431,-9.800000000000022,43.5,5.7306,24.6,15.0,31.0
-5.1427,-9.800000000000022,44.0,5.4499,24.0,15.0,30.0
-5.1422,-9.800000000000022,44.5,5.381,23.9,15.0,30.0
-5.1417,-9.800000000000022,45.0,5.8874,23.7,15.0,30.0
-5.1412,-9.800000000000022,45.5,6.2553,23.3,14.0,29.0
-5.1407,-9.800000000000022,46.0,5.8485,23.0,14.0,29.0
-5.1402,-9.800000000000022,46.5,6.3378,22.9,14.0,29.0
-5.043,-9.600000000000023,37.5,6.1522,27.7,18.0,34.0
-5.0425,-9.600000000000023,38.0,6.4638,27.6,18.0,34.0
-5.0415,-9.600000000000023,39.0,6.0096,26.7,17.0,33.0
-5.041,-9.600000000000023,39.5,5.4378,26.6,17.0,33.0
-5.0405,-9.600000000000023,40.0,5.9938,26.4,17.0,33.0
-5.04,-9.600000000000023,40.5,5.8677,26.0,17.0,32.0
-5.0395,-9.600000000000023,41.0,5.3146,25.7,16.0,32.0
-5.039,-9.600000000000023,41.5,5.2689,25.6,16.0,32.0
-5.0386,-9.600000000000023,42.0,5.8468,25.3,16.0,32.0
-5.0381,-9.600000000000023,42.5,5.4029,25.0,16.0,31.0
-5.0376,-9.600000000000023,43.0,5.5612,24.6,15.0,31.0
-5.0371,-9.600000000000023,43.5,5.8124,24.6,15.0,31.0
-5.0366,-9.600000000000023,44.0,5.8439,24.0,15.0,30.0
-5.0361,-9.600000000000023,44.5,5.856,24.0,15.0,30.0
-5.0356,-9.600000000000023,45.0,6.414,23.7,15.0,30.0
-5.0346,-9.600000000000023,46.0,6.642,23.0,14.0,29.0
-4.9384,-9.400000000000023,36.0,6.6611,28.6,19.0,35.0
-4.9374,-9.400000000000023,37.0,6.5942,28.0,18.0,35.0
-4.9369,-9.400000000000023,37.5,5.5227,27.7,18.0,34.0
-4.9364,-9.400000000000023,38.0,5.8169,27.6,18.0,34.0
-4.936,-9.400000000000023,38.5,6.3147,27.1,18.0,34.0
-4.9355,-9.400000000000023,39.0,5.7467,26.7,17.0,33.0
-4.935,-9.400000000000023,39.5,5.1706,26.6,17.0,33.0
-4.9345,-9.400000000000023,40.0,5.6205,26.4,17.0,33.0
-4.934,-9.400000000000023,40.5,5.6979,26.0,17.0,32.0
-4.9335,-9.400000000000023,41.0,5.4068,25.7,16.0,32.0
-4.933,-9.400000000000023,41.5,5.2411,25.6,16.0,32.0
-4.9325,-9.400000000000023,42.0,5.9085,25.3,16.0,32.0
-4.932,-9.400000000000023,42.5,5.689,25.0,16.0,31.0
-4.9315,-9.400000000000023,43.0,5.9617,24.9,16.0,31.0
-4.931,-9.400000000000023,43.5,6.22,24.6,15.0,31.0
-4.9305,-9.400000000000023,44.0,6.5356,24.0,15.0,30.0
-4.93,-9.400000000000023,44.5,6.5199,24.0,15.0,30.0
-4.8329,-9.200000000000024,35.5,6.1942,28.9,19.0,36.0
-4.8324,-9.200000000000024,36.0,5.9154,28.7,19.0,35.0
-4.8319,-9.200000000000024,36.5,6.5602,28.4,19.0,35.0
-4.8314,-9.200000000000024,37.0,6.0822,28.0,18.0,35.0
-4.8309,-9.200000000000024,37.5,5.1528,27.7,18.0,34.0
-4.8304,-9.200000000000024,38.0,5.3664,27.6,18.0,34.0
-4.8299,-9.200000000000024,38.5,5.927,27.1,18.0,34.0
-4.8294,-9.200000000000024,39.0,5.6773,26.9,17.0,33.0
