d17Ow,Dp17Ow,d18Ow,sum_distance,avg_temperature,min_temperature,max_temperature
-2.3461,-20.5,-4.4,15.7757,33.0,15.0,43.0
-2.2408,-21.0,-4.2,15.5856,33.8571,16.0,44.0
-2.2403,-20.5,-4.2,15.2872,33.1429,15.0,43.0
-2.136,-22.0,-4.0,15.7976,35.2857,17.0,46.0
-2.1355,-21.5,-4.0,15.3561,34.5714,16.0,45.0
-2.135,-21.0,-4.0,15.137,34.0,16.0,44.0
-2.1345,-20.5,-4.0,14.854,33.4286,15.0,44.0
-2.0307,-22.5,-3.8,15.7307,36.1429,17.0,47.0
-2.0302,-22.0,-3.8,15.207,35.2857,17.0,46.0
-2.0297,-21.5,-3.8,14.8574,34.5714,16.0,45.0
-2.0292,-21.0,-3.8,14.8288,34.0,16.0,44.0
-2.0287,-20.5,-3.8,14.5069,33.4286,15.0,44.0
-1.9254,-23.0,-3.6,15.6833,36.8571,18.0,48.0
-1.9249,-22.5,-3.6,15.1514,36.2857,18.0,47.0
-1.9244,-22.0,-3.6,14.6716,35.4286,17.0,46.0
-1.9239,-21.5,-3.6,14.6931,34.7143,16.0,45.0
-1.9234,-21.0,-3.6,14.6904,34.0,16.0,44.0
-1.9229,-20.5,-3.6,14.5068,33.4286,15.0,44.0
-1.8206,-24.0,-3.4,15.767,38.1429,19.0,49.0
-1.8201,-23.5,-3.4,15.4766,37.5714,19.0,48.0
-1.8196,-23.0,-3.4,15.1841,37.0,18.0,48.0
-1.8191,-22.5,-3.4,14.6865,36.2857,18.0,47.0
-1.8186,-22.0,-3.4,14.5209,35.5714,17.0,46.0
-1.8181,-21.5,-3.4,14.7261,34.7143,16.0,45.0
